0,0.128716,0.044961,0.00714,0.085283,0.509005,0.014038,0.078486,0.132371
1,0.000157,0.002259,0.003648,0.000185,0.001354,0.000303,0.000197,6.6e-05
2,0.000157,0.00158,0.002137,0.000176,0.001354,0.000217,0.000177,6.6e-05
3,0.000143,0.001067,0.001287,0.000147,0.001214,0.000153,0.00016,6.4e-05
4,0.000121,0.000719,0.000792,0.000124,0.001028,0.000104,0.000126,6e-05
5,9.6e-05,0.000498,0.000485,0.000102,0.000824,6.5e-05,0.000106,5.3e-05
6,8.3e-05,0.000336,0.000298,7.4e-05,0.000668,3.4e-05,8.4e-05,4.9e-05
7,6.8e-05,0.000233,0.000172,5.1e-05,0.000531,2.7e-05,6.8e-05,3.8e-05
8,4.7e-05,0.000155,9.9e-05,3.7e-05,0.000424,2.1e-05,5.3e-05,2.9e-05
9,3.3e-05,0.000106,5.2e-05,3e-05,0.000339,1.1e-05,3.9e-05,2.5e-05
10,2.2e-05,7.2e-05,2.8e-05,1.8e-05,0.000264,8e-06,3e-05,2.3e-05
11,1.7e-05,4.9e-05,1.6e-05,1.3e-05,0.000194,5e-06,2.5e-05,1.8e-05
12,9e-06,3.7e-05,8e-06,1e-05,0.00014,1e-06,1.8e-05,1.3e-05
13,5e-06,2.9e-05,3e-06,7e-06,9.8e-05,0,1e-05,1e-05
14,3e-06,2.2e-05,0,4e-06,6.9e-05,0,4e-06,9e-06
15,1e-06,1.4e-05,0,3e-06,4.7e-05,0,4e-06,6e-06
16,1e-06,7e-06,0,2e-06,3.4e-05,0,2e-06,3e-06
17,1e-06,3e-06,0,0,2.5e-05,0,1e-06,2e-06
18,1e-06,2e-06,0,0,1.8e-05,0,0,0
19,1e-06,0,0,0,1.4e-05,0,0,0
20,0,0,0,0,1e-05,0,0,0
21,0,0,0,0,5e-06,0,0,0
22,0,0,0,0,2e-06,0,0,0
