0,0.128076,0.044599,0.007093,0.086731,0.507942,0.014101,0.077887,0.133571
1,0.000103,0.001973,0.003312,0.000106,0.000631,0.000258,0.000141,3e-05
2,0.000103,0.001263,0.001847,1e-04,0.000631,0.000173,0.00012,3e-05
3,9.5e-05,0.000793,0.001081,8.6e-05,0.000554,0.000107,9.1e-05,3e-05
4,8.2e-05,0.000501,0.000659,6.1e-05,0.000457,5.6e-05,7.1e-05,2.8e-05
5,6.5e-05,0.000317,0.000396,3.5e-05,0.000363,4.4e-05,5.2e-05,1.9e-05
6,4.6e-05,0.000201,0.00024,2.9e-05,0.000276,3.2e-05,3.6e-05,1.6e-05
7,2.7e-05,0.000135,0.000145,2.1e-05,0.000196,1.9e-05,2.6e-05,1.4e-05
8,1.7e-05,8.7e-05,9e-05,1.4e-05,0.000133,1.3e-05,2e-05,1.1e-05
9,1.3e-05,5.9e-05,5.1e-05,9e-06,9.3e-05,1.1e-05,1.5e-05,8e-06
10,1e-05,4.2e-05,2.5e-05,5e-06,6.3e-05,9e-06,9e-06,6e-06
11,7e-06,2.8e-05,1.2e-05,4e-06,4.2e-05,5e-06,7e-06,5e-06
12,6e-06,1.6e-05,6e-06,3e-06,3e-05,4e-06,6e-06,3e-06
13,5e-06,9e-06,3e-06,3e-06,1.8e-05,3e-06,5e-06,2e-06
14,3e-06,4e-06,1e-06,3e-06,1.1e-05,2e-06,4e-06,2e-06
15,2e-06,0,0,2e-06,4e-06,2e-06,4e-06,2e-06
16,2e-06,0,0,1e-06,1e-06,1e-06,1e-06,2e-06
17,1e-06,0,0,1e-06,0,0,1e-06,2e-06
18,1e-06,0,0,0,0,0,0,2e-06
19,0,0,0,0,0,0,0,1e-06
